gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
GPC1,420.1113593,437.4371449,965.6205006,1011.100497,948.9373605
GPC2,2.154417227,3.728157485,5.344762919,3.547721043,8.591988173
GPC3,3056.040837,2230.680895,3206.857751,4242.187437,5543.741702
GPC4,9621.627336,9383.772389,5930.014458,5680.78832,5003.401113
GPC5,0,0,0,0,0
GPC6,423.3429851,254.7574281,187.0667022,271.4006598,303.5835821
GPCPD1,1518.864145,1563.340705,1207.91642,753.8907217,922.2067306
GPD1,31327.3809,35427.43786,5927.342077,12165.13546,9168.606046
GPD2,1182.775058,1114.719088,2013.194033,1844.814942,1737.490942
GPER1,7.540460295,14.91262994,66.80953648,77.16293269,74.4638975
GPHA2,3.231625841,1.242719162,0,0,0
GPHB5,0,1.242719162,2.672381459,0,3.81866141
GPHN,5529.311813,5260.430211,3221.110452,3045.718515,2656.833676
GPI,22266.97925,25187.43197,17066.71879,20944.85811,17112.37645
GPIHBP1,22.62138088,34.79613652,52.55683537,113.5270734,118.3785037
GPKOW,1090.135117,1232.777408,918.4084282,898.4603542,800.0095655
GPLD1,6.463251681,11.18447245,7.126350558,7.982372347,6.682657468
GPM6A,54.93763929,48.4660473,59.68318593,88.69302608,53.46125974
GPM6B,1080.440239,818.9519275,6509.921235,4302.498695,3632.501667
GPN1,1873.265779,1933.671015,3463.406371,2375.199238,2541.319169
GPN3,1999.299187,2209.554669,1967.763548,1678.072053,1840.5948
GPNMB,14875.17374,13664.9399,163132.8538,151274.8253,124424.3994
GPR1,340.3979219,436.1944257,68.59112412,154.3258654,246.303661
GPR101,0,0,0,0,0
GPR107,5298.78917,4973.362085,5231.632104,5428.900126,5375.7206
GPR108,2145.799558,2289.088696,2183.335652,2123.311044,2197.639642
GPR119,0,0,0,0,0
GPR12,0,2.485438323,1.78158764,0.886930261,0
GPR135,50.62880484,53.43692395,24.05143313,22.17325652,20.0479724
GPR137,1818.32814,2224.467299,1601.647288,1851.023454,1538.920548
GPR137B,8921.441738,8679.150625,3336.913649,3837.747238,3865.440013
GPR137C,19.38975504,7.45631497,5.344762919,7.982372347,15.27464564
GPR139,0,0,0,0,0
GPR142,0,0,0,0,0
GPR149,0,0,0,0,0
GPR15,6.463251681,6.213595808,5.344762919,7.982372347,3.81866141
GPR150,0,0,0,0,0
GPR151,0,0,0,0,0
GPR152,1.077208614,0,0,0,0
GPR153,72.17297711,58.40780059,24.94222695,57.65046695,79.23722426
GPR155,1447.768377,1654.059204,1268.490399,1747.252614,1843.458796
GPR156,29.08463257,28.58254072,32.06857751,34.59028017,60.14391721
GPR157,11.84929475,21.12622575,71.26350558,101.99698,104.0585234
GPR158,11.84929475,14.91262994,15.14349494,15.96474469,24.82129917
GPR160,4260.360067,5870.605319,2951.199925,3467.010389,2341.79411
GPR161,11.84929475,6.213595808,38.30413425,31.04255913,46.77860228
GPR162,26.93021534,32.3106982,40.08572189,31.04255913,32.45862199
GPR17,0,2.485438323,4.453969099,0.886930261,0
GPR171,206.8240538,195.1069084,266.3473521,221.7325652,222.4370272
GPR173,127.1106164,96.9320946,195.9746404,224.393356,222.4370272
GPR174,60.32368236,64.6213964,8.907938198,15.07781443,18.1386417
GPR176,350.0927994,405.1264467,252.9854448,305.1040097,344.6341923
GPR179,7.540460295,3.728157485,0.89079382,4.434651304,1.909330705
GPR18,19.38975504,23.61166407,16.92508258,16.85167495,12.41064958
GPR180,531.0638465,541.8255545,778.5537985,747.6822098,791.4175773
GPR182,105.5664441,93.20393712,30.28698987,91.35381686,304.5382475
GPR183,514.9057173,468.5051239,391.0584869,267.8529388,226.2556886
GPR19,23.6985895,22.36894491,16.92508258,46.12037356,121.2424998
GPR20,4.308834454,4.970876646,16.92508258,20.399396,9.546653526
GPR22,0,0,0,0,0
GPR26,0,0,0,0,0
GPR27,50.62880484,60.89323892,70.37271176,45.2334433,66.82657468
GPR3,14.00371198,4.970876646,5.344762919,5.321581565,2.863996058
GPR32,0,0,0,0,0
GPR33,2.154417227,1.242719162,0,0,0.954665353
GPR34,708.8032677,736.9324628,1304.122152,1501.572931,2995.739876
GPR35,521.368969,464.7769664,289.5079914,275.8353111,322.6768892
GPR37,124.9561992,136.6991078,366.1162599,356.5459648,247.2583263
GPR37L1,0,0,0,0,0
GPR39,1140.763922,1113.476369,2106.727384,2246.594351,2140.35972
